Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
S-33 SafBrew Ale,DCL/Fermentis,Ale,Dry,65°F - 72°F,73.0%,Medium,"General purpose ale yeast, widely used. Very consistent, clean finish. High attenuation and good flavor profile.

Best for: Most ales."
T-58 SafBrew Specialty Ale,DCL/Fermentis,Ale,Dry,60°F - 72°F,73.0%,Medium,"Estery, somewhat spicy ale yeast. Solid yeast formation at end of fermentation. Widely used for bottle and cask conditioning.

Best for: Complex ales."
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
US-05 Safale American,DCL/Fermentis,Ale,Dry,59°F - 75°F,76.5%,Medium,"American ale yeast that produces well balanced beers with low diacetyl and a very clean, crisp end palate.

Best for: American ale, other clean finish ales"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
W-34/70 Saflager Lager,DCL/Fermentis,Lager,Dry,48°F - 59°F,75.0%,High,"A famous yeast strain from Weihenstephan Germany used worldwide in brewing. Their most popular strain for lagers.

Best for: European lagers"
WB-06 Safbrew Wheat,DCL/Fermentis,Wheat,Dry,59°F - 75°F,68.0%,Medium,"A specialty yeast for wheat beer fermentation. The yeast produces a subtle estery and phenlol flavor typical of wheat beers.

Best for: Wheat beers"
Array Northeast Ale ECY29,East Coast Yeast,Ale,Liquid,65°F - 70°F,82.0%,High,
ECY29 North East Ale,East Coast Yeast,Ale,Liquid,66°F - 72°F,81.0%,Medium Low,"Replication of the famous Conan strand of yeast. Unique strand with an abundance of citrusy esters that accentuate American style hops.

Best for: IPA, DIPA, strong ale"
Dry Belgian Ale,The Yeast Bay,Ale,Liquid,70°F - 76°F,92.5%,Medium Hig,"Dry Belgian Ale is single strain of Saccharomyces cerevisiae isolated from a unique golden strong ale. The profile is a complex and balanced mix of apple, pear and light citrus fruit with some mild spicy and peppery notes. The apparent attenuation of this strain ranges anywhere from 85-100%, depending upon the mash profile and the grist composition. For a yeast that's as dry as it is, it creates beers with a surprising amount of balance even without the use of specialty grains or adjuncts.

Best for: Any big Belgian beer"
Northeastern Abbey,The Yeast Bay,Ale,Liquid,68°F - 73°F,79.0%,Medium Low,"This yeast was isolated from a beer crafted by a well-known producer of Belgian-style ales in the Northeastern United States. This yeast produces a very mild spiciness and earthy flavor and aroma which is complemented by a subtle but magnificent array of fruity esters, including pear and light citrus fruit. Expect this yeast to produce a large, thick krausen.

Best for: Light Belgian beers: wit, Belgian pale, Belgian blonde. Also experimental fruit beers."
Saison Blend,The Yeast Bay,Ale,Liquid,68°F - 80°F,79.0%,Medium Low,"A blend of two unique yeast strains isolated from beers that embody the saison style, this blend is a balance of the many characteristic saison flavors and aromas. One yeast strain is a good attenuator that produces a spicy and mildly tart and tangy beer with a full mouthfeel. The other yeast strain is also a good attenuator that produces a delightful ester profile of grapefruit and orange zest and imparts a long, dry and earthy finish to the beer. Together, they produce a dry but balanced beer with a unique flavor and aroma profile.

Best for: Saison"
Vermont Ale,The Yeast Bay,Ale,Liquid,66°F - 70°F,78.5%,Medium Low,"Isolated from a uniquely crafted double IPA out of the Northeastern United States, this yeast produces a balanced fruity ester profile of peaches and light citrus that complements any aggressively hopped beer.

Best for: IPAs, DIPAs"
Vermont Ale Yeast,The Yeast Bay,Ale,Liquid,68°F - 72°F,78.5%,Low,
Wallonian Farmhouse,The Yeast Bay,Ale,Liquid,68°F - 78°F,84.5%,Medium,"Isolated from a unique farmhouse-style ale that hails from the Walloon region of Belgium, this yeast is one of the funkiest ""clean"" yeast we have in our stable. It imparts a slight earthy funk and tart character to the beer, and is a very mild producer of some slightly spicy and mildly smokey flavor compounds. This yeast exhibits absurdly high attenuation, resulting in a practically bone-dry beer. If desired, we recommend controlling the dryness by adjusting the mash temperature or adding malts or adjuncts to the mash tun that will lend some body and residual sweetness to the beer.

Best for: Farmhouse styles, experimental Belgian ales."
- Cooper Ale,Coopers,Ale,Dry,62°F - 72°F,75.0%,Medium,"General purpose dry ale yeast with a very good reputation. Produces significant fruity flavors. No phenolics. Clean, fruity finish.

Best for: Most ales."
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
Y015 Blanche Ale Yeast,Brewferm,Wheat,Dry,64.4°F - 73.4°F,73.0%,Medium,"Top fermenting strain for Belgian witbier and wheats. Spicy and lightly phenolic.

Best for: Wheat beer, Wit"
Y016 Lager Yeast,Brewferm,Lager,Dry,50°F - 59°F,78.0%,Medium,"A dry lager yeast with high attenuation. Ferments clean and malty.

Best for: Lagers"
Belle Saison,Danstar,Ale,Liquid,64°F - 90°F,82.5%,Low,Best for: Saisons and belgians
Belle Saison,Danstar,Ale,Dry,63°F - 77°F,80.0%,Low,Best for: Saison
- London,Danstar,Ale,Dry,64°F - 70°F,72.0%,Medium,"Produces a clean, well balanced ale. Medium attenuation preserves some beer complexity.

Best for: Well balanced British style ales."
- Manchester,Danstar,Ale,Dry,64°F - 70°F,72.0%,Medium,"Old english style ale yeast that produces a complex, woody, full bodied ale at warm temperature. Medium attenuation. Good dry yeast for many english styles.

Best for: Complex, full bodied Porters, Stouts, Ales."
- Nottingham,Danstar,Ale,Dry,57°F - 70°F,75.0%,High,"Dry strain is highly flocculant and has high attenuation. Produces relatively few fruity esters for a dry yeast. Can be fermented at low temperature to produce lager-style beers.

Best for: Good neutral ale yeast."
- Doric Ale,Doric,Ale,Dry,62°F - 72°F,75.0%,Medium,"Good reputation. Reliable clean finish for a dry yeast.

Best for: Ales"
- Edme Ale Yeast,Edme,Ale,Dry,62°F - 72°F,75.0%,Medium,"Quick starting dry yeast with a good reputation. Produces some fruity ester. Highly attentive, so it will likely produce a slightly dry taste.

Best for: Ales requiring high attenuation."
- Special Ale,Glenbrew,Ale,Dry,62°F - 72°F,75.0%,Medium,"Highly attentive, clean finish dry yeast.

Best for: All-malt beers."
- Diamond Lager,Lallemand,Lager,Dry,50°F - 59°F,73.0%,Medium,"Diamond Lager yeast originated in Germany and is used in a number of commercial breweries to produce various lagers.

Best for: Lagers"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
- Munuch,Lallemand,Wheat,Dry,65°F - 71°F,70.0%,Medium,"Danstar Munich Wheat Beer yeast originated in Bavaria, Germany, the home of many of the worldÃ¢â‚¬â„¢s great wheat beer breweries.

Best for: Wheat beers"
- Nottingham Yeast,Lallemand,Ale,Dry,62°F - 72°F,75.0%,Very High,"High flocculation - settles quickly. Very good reputation as a fast starter and quick fermenter. Clean and only slightly fruity. Some nutty flavor in bottled version. Relatively high attenuation.

Best for: Ales"
- Windsor Yeast,Lallemand,Ale,Dry,62°F - 72°F,75.0%,Very High,"Clean, well balanced finish. Yeast produces an estery ale with a slighly fresh yeast flavor. Not as quick as the Nottingham. Some bannana aroma.

Best for: Ales"
71B-1122 Lalvin 71B-1122,Lallemand - Lal,Wine,Dry,59°F - 86°F,75.0%,High,"Rapid starter with constant and complete fermentation. Ability to metabolize high amounts (20-40%) of malic acid. Partial metabolism of malic acid helps soften the wine. May produce significant esters, making it a good choice for concentrates. 

Best for: Young wines such as nouveau, blush and sugar white."
D-47 Lalvin D-47,Lallemand - Lal,Wine,Dry,50°F - 86°F,75.0%,High,"Recommended for white variety wines such as Chardonnay and Rose as well as Mead. Low foaming, quick fermenting, forming a compact lees at the end of fermentation. Use yeast nutrients if making mead. Saccharomyces Cerevisiae.

Best for: White wines such as Chardonnay and Rose. Also good for mead."
EC-1118 Lalvin EC-1118,Lallemand - Lal,Wine,Dry,45°F - 95°F,75.0%,High,"Low production of foam, volatile acid and H2S. Ferments over a wide temperature range. High alcohol tolerance, compact lees and good flocculation. Relatively neutral flavor and aroma.

Best for: All types of wine and also cider."
K1V-1116 Lalvin - K1V-1116,Lallemand - Lal,Wine,Dry,59°F - 86°F,75.0%,Medium,"Used for white grape varieties. Rapid starter with constant and complete fermentation. Capable of surviving difficult conditions such as low nutrient or high SO2 levels. Has low volatile action.

Best for: Souvingnon Blanc, Chenin Blanc and Seyval."
RC 212 Lalvin RC 212 (Bourgovin),Lallemand - Lal,Wine,Dry,59°F - 86°F,75.0%,Medium,"RC212 recommended for red variety wines and high gravity beers. Alcohol tolerance in the 12-14% range. Low foaming and moderate speed fermenting. Saccharomyces Cerevisiae.

Best for: Red wines."
- Munton Fison Ale,Munton-Fison,Ale,Dry,62°F - 72°F,75.0%,Medium,"Quick starting dry yeast. Produces some fuity esters. High attenuation produces clean finish.

Best for: High attenuation yeast good for most ales."
- Pasteur Champagne,Red Star,Champagne,Dry,65°F - 73°F,75.0%,Medium,"High attenuation dry yeast. Good reputation. Good for Meads and other high gravity ales.

Best for: Meads, Barleywines, Imperial Stouts and high gravity ales."
- Red Star Ale,Red Star,Ale,Dry,62°F - 72°F,77.0%,Medium,"Good general purpose dry yeast. Change to a different strain in recent years has improved overall quality.

Best for: High attenuation ales with a dry clean taste."
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
CL-0010 American Microbrewery Ale #1,Brewtek,Ale,Liquid,56°F - 72°F,74.5%,Medium,"Smooth, clean, strong fermenting ale yeast that works well at cold temperature. Clean malt flavor is ideal for cream ales.

Best for: American Ales, Cream Ales"
CL-0020 American Microbrewery Ale #2,Brewtek,Ale,Liquid,56°F - 72°F,74.0%,Medium,"Accentuated, rich, creamy malt profile. Generous amounts of diacytl. Use for low gravity beers where malt character is needed or stronger beers for a robust character.

Best for: American ales"
CL-0050 California Pub Ale,Brewtek,Ale,Liquid,60°F - 70°F,75.0%,Medium,"For that classic U.S. small brewery flavor. CL-50 produces terrific American red & pale ale styles. While attenuation is normal, this yeast produces a big, soft, well rounded malt flavor that really lets caramel malt flavors shine.

Best for: California and other American ales"
CL-0060 Noth-Eastern Micro Ale,Brewtek,Ale,Liquid,56°F - 72°F,75.0%,Medium,"Malty, bready, yet clean malt character. Leaves hops flavor and aroma intact. Versitile yeast for many American styles.

Best for: American Ales, Reds, Ambers"
CL-0110 British Microbrewery Ale,Brewtek,Ale,Liquid,62°F - 72°F,74.0%,Medium,"Complex oakey, and fruity ester profile. Slightly under-attenuated finish leaves some residual malt flavor. Suitable for low to medium gravity bitters and ales.

Best for: English Bitters and Milds"
CL-0120 British Pale Ale #1,Brewtek,Ale,Liquid,62°F - 72°F,76.0%,Medium,"Bold, citrusy character which accentuates mineral and hop flavors. Distinct character of a classic Pale Ale.

Best for: British Pale Ales and Bitters."
CL-0130 British Pale Ale #2,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Medium,"Smooth, full bodied, well roundd ale yeast. Mild esters. Strong ferementer suitable for strong or spiced ales. Accentuates caramel and malt flavors.

Best for: British Pale Ale, other British Ales"
CL-0150 British Real Ale,Brewtek,Ale,Liquid,62°F - 72°F,68.0%,Medium,"Great for real pub bitters. Has a complex, woody flavor and musty ester profile that characterizes real ale. Underattenuating to leave mild sweetness to the finish.

Best for: Bitters and other English Ales"
CL-0160 British Draft Ale,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Medium,"Full bodied, well rounded ale yeast with a touch of diacytl. Emphasizes malt character. Great for porters and bitters.

Best for: Porters and Bitters."
CL-0170 Classic British Ale,Brewtek,Ale,Liquid,62°F - 72°F,76.0%,Medium,"Complex ale with British tones and fruit like esters. Works well in high gravity ales such as scottish heavy as well.

Best for: Bitters, Porters, Scottish Heavy Ales."
CL-0200 Scottish Ale,Brewtek,Ale,Liquid,60°F - 68°F,78.5%,High,"Use for classic Scottish heavys, 90's- or strong ales. This yeast produces a soft, fruity malt profile with a subtle woody, oakey ester profile. A mild, mineral like dryness in the finish makes this a very complex strain.

Best for: Scottish ales"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
CL-0240 Irish Dry Stout,Brewtek,Ale,Liquid,62°F - 72°F,77.0%,Medium,"Top fermenting yeast which leaves a recognizable slightly woody character to Dry Stouts. Vinous almost lactic character that blends well with roast malts. High attenuation.

Best for: Dry Stouts"
CL-0260 Canadian Ale,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Medium,"Clean, strong fermenting, well attenuated ale yeast that leaves a pleasant, fruity, complex finish.

Best for: Light Canadian Ales, Bitish Bitter, Pale Ale, Porters"
CL-0270 Australian Ale,Brewtek,Ale,Liquid,66°F - 76°F,75.0%,Medium,"Produces a malty, bready, nutty character with a pleasant honey like finish. This yeast emphasizes malt nuances and is very forgiving in warmer fermentations for those who cannot ferment under controlled conditions. 

Best for: Australian styles"
CL-0300 Belgian Ale #1,Brewtek,Ale,Liquid,62°F - 72°F,76.0%,Medium,"Produces classic Belgian ale flavor. Robust, estery with notes of clove and fruit. Ferments well in high gravity worts.

Best for: Belgian Ales, High gravity ales."
CL-0320 Belgian Ale #2,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Low,"Flanders style yeast. Strong fermenting yeast attenuates well and produces fruity, malty, estery malt profile. Slow to flocculate.

Best for: Flanders style Belgian Ales, Belgian Brown, Fruit beers"
CL-0340 Belgian Ale #3,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Medium,"Slightly more refined than CL-300. Produces the classic Trappist ale character with esters of spice and fruit. Mildly phenolic. Strong fermenting yeast.

Best for: Belgian ales, Trappist Ales"
CL-0380 Saison,Brewtek,Ale,Liquid,62°F - 72°F,75.0%,Medium,"Pleasant yeast blend. Leaves a smooth full character to the malt with mild, but pleasant esters and some apple pie spices.

Best for: French or Belgian Ales and Grand Cru styles."
CL-0400 Old German Ale,Brewtek,Ale,Liquid,62°F - 72°F,76.0%,Medium,"Traditional Alt Bier flavor. Strong fermenter with a smooth, attenuated, mild flavor. Slightly dry, clean, quenching finish.

Best for: Altbier, German ales, some Wheat beers."
CL-0450 Kolsch,Brewtek,Ale,Liquid,62°F - 72°F,76.5%,Medium,"Produces mild sulfer flavor which smooths with time to a clean attenuated flavor. Mineral and malt characters come through well. Clean, lightly yeasty flavor and aroma in the finish.

Best for: German Kolsch"
CL-0600 Original Pilsner,Brewtek,Lager,Liquid,48°F - 58°F,75.5%,Medium,"Full bodied lager yeast with sweet, underattenuated finish. Subdued diacetyl character. Big malty palatte. Classic Pilsner finish and style.

Best for: Classic Czech Pilsners"
CL-0620 American Megabrewery,Brewtek,Lager,Liquid,48°F - 58°F,75.0%,Medium,"Smooth yeast with a slight fruity flavor. Lagers into a smooth, clean tasting beer. Use for light, clean lager styles with unobtrusive yeast character.

Best for: Light, Clean American style lagers."
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
CL-0630 American Microbrewery Lager,Brewtek,Lager,Liquid,48°F - 58°F,75.0%,Medium,"Strong fermenter. Leaves a clean, full flavored, malty finish. Slightly attenuative. Versatile for most lager styles with a clean full flavor.

Best for: All lager styles"
CL-0650 Old Bavarian Lager,Brewtek,Lager,Liquid,48°F - 58°F,75.0%,Medium,"Well rounded, malty with a subtle ester complex and citrus flavors. Distinct, flavorful yeast is great for Southern German lager styles.

Best for: German lagers, Bock, Dunkel, Helles"
CL-0660 Northern German Lager,Brewtek,Lager,Liquid,48°F - 58°F,75.0%,Medium,"Clean, crisp, traditional lager character. Strong fermenting and forgiving yeast. Excellent general purpose lager yeast.

Best for: German pilsners, Mexican and Canadian Lagers"
CL-0670 Swiss Lager,Brewtek,Lager,Liquid,48°F - 54°F,75.0%,Medium,"A unique strain that has both a clean, crisp lager flavor and a soft, smooth maltiness. Perfect for European Pilsners. Like our CL-660 strain, this is an excellent all purpose Lager yeast for those wanting a fuller, rounder palate. 

Best for: European pilsners and lagers"
CL-0680 East European Lager,Brewtek,Lager,Liquid,48°F - 58°F,76.5%,Medium,"Smooth, rich, creamy character. Emphasizes big malt flavor and clean finish. Full but smooth malt character.

Best for: Marzens, Oktoberfest"
CL-0690 California Esteem (Gold),Brewtek,Lager,Liquid,48°F - 65°F,75.0%,Medium,"Use for California Common Beers (aka Steam Beer). Leaves a slightly estery, well attenuated finish. Quite distinct in flavor. Can also be used for complex porters.

Best for: California Common Beer, American or Robust porters"
CL-0900 Belgian Wheat,Brewtek,Wheat,Liquid,55°F - 68°F,73.0%,Medium,"Top fermenting yeast with a soft bread-like character. Leaves a sweet, mildly estery finish. Delicious Belgian character to any beer. Great in Wit style with coriander and bitter orange peel.

Best for: Belgian Pils, Belgian Wit"
CL-0920 German Wheat BT,Brewtek,Wheat,Liquid,55°F - 68°F,76.0%,Medium,"Top fermenting Weizenbier yeast. Intensely spicy, clovey and phenolic. High attenuation.

Best for: Weizen, Weizenbocks"
CL-0930 German Weiss,Brewtek,Wheat,Liquid,55°F - 68°F,75.0%,Medium,"Milder than German Wheat #1, this strain still produces the desired clove and phenol character, but to a lesser degree. Full, earthy character.

Best for: Weiss, Weizen, other Southern German Wheat styles"
CL-0980 American White Ale,Brewtek,Wheat,Liquid,55°F - 68°F,75.0%,Low,"Smooth wheat yeast with a round, clean, malt flavor. Low flocculation leaves cloudy Hefe-Weizen finish. Smooth flavor makes a great unfiltered wheat beer.

Best for: Hefe-Weizen, American Wheat"
CL-5200 Brettanomyces Lambicus,Brewtek,Ale,Liquid,48°F - 68°F,73.0%,Medium,"Wild yeast strain associated with Belgian breweries. Contributes horsey, old leather flavor complex to Belgian lambics. Slow growing yeast that takes weeks to ferment and months to develop fully.

Best for: Belgian Lambic beers"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
CL-5600 Pediococcus Damnosus,Brewtek,Ale,Liquid,48°F - 68°F,73.0%,Medium,"Slow growing bacteria used in secondary to create lactic acid flavor in Belgian lambics. Produces large amounts of lactic acid and diacytl. Prefers anaerobic conditions.

Best for: Belgian Lambic beers"
